,Time,Speech,,Observation by Code,Common words,General Observation,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
170407,,,,,,,,,,,,,,,,,,,,,,,
81,0:10:27,"Yeah, no, I haven't seen her back but no external signs of trauma",,,,,,,,,,,,,,,,,,,,,
82,0:10:28,Well we haven't rolled,,,,,,,,,,,,,,,,,,,,,
83,0:10:30,Okay we need to roll the kid and check the back,,,,,,,,,,,,,,,,,,,,,
84,0:10:32,"Do you have, is that your waste?",,,,,,,,,,,,,,,,,,,,,
85,0:10:33,Yeah we weighed him,,,,,,,,,,,,,,,,,,,,,
86,0:10:35,"Can we roll the kid, when you guys are ready there",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
106,0:11:09,Can we roll the baby,,,,,,,,,,,,,,,,,,,,,
107,0:11:11,"Yes, we can do that",,,,,,,,,,,,,,,,,,,,,
108,0:11:14,"Lines are all good, monitors are all good",,,,,,,,,,,,,,,,,,,,,
109,0:11:15,Towards me?,,,,,,,,,,,,,,,,,,,,,
110,0:11:17,Uh whoever gets the head calls,,,,,,,,,,,,,,,,,,,,,
111,0:11:17,Yes towards you,,,,,,,,,,,,,,,,,,,,,
112,0:11:17,Yes we're gonna go towards the right because your ET tube's on the right,,,,,,,,,,,,,,,,,,,,,
113,0:11:21,So whoever's looking at the back can come to the left,,,,,,,,,,,,,,,,,,,,,
114,0:11:26,So she's in this contraption that we're gonna have to move here,,,,,,,,,,,,,,,,,,,,,
115,0:11:29,You're not gonna be able to see anything,,,,,,,,,,,,,,,,,,,,,
116,0:11:32,Alright let's roll him,,,,,,,,,,,,,,,,,,,,,
117,0:11:33,You ready?,,,,,,,,,,,,,,,,,,,,,
118,0:11:34,You guys are gonna have to take that off,,,,,,,,,,,,,,,,,,,,,
119,0:11:36,Yeah we know we know we know,,,,,,,,,,,,,,,,,,,,,
120,0:11:36,Not gonna lie you're not gonna see anything on her back,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
138,0:12:58,Ready?,,,,,,,,,,,,,,,,,,,,,
139,0:12:59,Everybody ready?,,,,,,,,,,,,,,,,,,,,,
140,0:13:00,Yeah I'm ready,,,,,,,,,,,,,,,,,,,,,
141,0:13:01,"On 3: 1, 2, 3 turn",,,,,,,,,,,,,,,,,,,,,
142,0:13:04,Oh the tube,,,,,,,,,,,,,,,,,,,,,
143,0:13:05,"Wait take that back push that the backu, take it",,,,,,,,,,,,,,,,,,,,,
144,0:13:07,"Well we're gonna be putting it back on so don't take it too far, move it so you can see it",,,,,,,,,,,,,,,,,,,,,
145,0:13:12,So wanna wait,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
147,0:13:19,"No step-offs or deformity of C-spine, T-spine, or L-spine",,,,,,,,,,,,,,,,,,,,,
148,0:13:26,No blood at the rectum,,,,,,,,,,,,,,,,,,,,,
149,0:13:30,Put the back push back on,,,,,,,,,,,,,,,,,,,,,
150,0:13:33,I just had an agonal breath,,,,,,,,,,,,,,,,,,,,,
151,0:13:36,Just letting you know,,,,,,,,,,,,,,,,,,,,,
152,0:13:37,Had one or two of those,,,,,,,,,,,,,,,,,,,,,
153,0:13:44,Is there a leak?,,,,,,,,,,,,,,,,,,,,,
154,0:13:49,"Okay turn, 1, 2, 3",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
170336,,,,,,,,,,,,,,,,,,,,,,,
95,0:25:57,Is there any blood or anything,,,,,,,,,,,,,,,,,,,,,
96,0:26:00,"I don't see, no deformity, no, looks good",,,,,,,,,,,,,,,,,,,,,
97,0:26:04,Okay,,,,,,,,,,,,,,,,,,,,,
98,0:26:05,He has some superficial abrasions on his lower back,,,,,,,,,,,,,,,,,,,,,
100,0:26:11,Okay we can turn back,,,,,,,,,,,,,,,,,,,,,
101,0:26:13,"Turn back on 3: 1, 2, 3 turn back",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
170335,,,,,,,,,,,,,,,,,,,,,,,
101,0:15:25,Roll the boy towards me,,,,,,,,,,,,,,,,,,,,,
102,0:15:28,"Okay we're gonna do all the work okay, 1, 2, 3",,,,,,,,,,,,,,,,,,,,,
103,0:15:31,Any tenderness back here,,,,,,,,,,,,,,,,,,,,,
104,0:15:33,Any tenderness along the back of your spine?,,,,,,,,,,,,,,,,,,,,,
105,0:15:36,"Alright no abrasions, step-offs, no tenderness, no abrasions, lacerations on the posterior back",,,,,,,,,,,,,,,,,,,,,
106,0:15:43,"Left axial is clear, sorry right axial is clear, defer a rectal exam, no abrasions or lacerations on the posterior buttocks",,,,,,,,,,,,,,,,,,,,,
107,0:15:50,Okay,,,,,,,,,,,,,,,,,,,,,
108,0:15:51,"No abrasions, lacerations on posterior back",,,,,,,,,,,,,,,,,,,,,
109,0:15:53,Alright go ahead and roll back over for us,,,,,,,,,,,,,,,,,,,,,
110,0:15:55,Just do the full C-spine exam,,,,,,,,,,,,,,,,,,,,,
111,0:15:56,Yeah alright,,,,,,,,,,,,,,,,,,,,,
112,0:15:57,Can you tilt your head towards me?,,,,,,,,,,,,,,,,,,,,,
113,0:15:59,Alright tilt it the other way,,,,,,,,,,,,,,,,,,,,,
114,0:16:01,Alright go ahead and put it center,,,,,,,,,,,,,,,,,,,,,
115,0:16:03,Now tilt your head back,,,,,,,,,,,,,,,,,,,,,
116,0:16:04,"Good, any tenderness or numbness there?",,,,,,,,,,,,,,,,,,,,,
117,0:16:06,"Alright tilt your head, chin to your chest",,,,,,,,,,,,,,,,,,,,,
118,0:16:09,"Alright any tenderness, numbness while you do that",,,,,,,,,,,,,,,,,,,,,
119,0:16:11,Okay C-spine cleared clinically,,,,,,,,,,,,,,,,,,,,,
120,0:16:14,"Can you relax, put your head back, good, just relax",,,,,,,,,,,,,,,,,,,,,
121,0:16:24,Just gonna take a look in the front here okay,,,,,,,,,,,,,,,,,,,,,
122,0:16:26,"Are you tensing up here, can you relax your head please",,,,,,,,,,,,,,,,,,,,,
125,0:16:38,That hurts a little bit?,,,,,,,,,,,,,,,,,,,,,
126,0:16:39,Is it worse up top though?,,,,,,,,,,,,,,,,,,,,,
127,0:16:44,Does this hurt?,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
170334,,,,,,,,,,,,,,,,,,,,,,,
86,0:14:28,"I'm gonna feel the back of your neck, and you're gonna tell me if it hurts or not",,,,,,,,,,,,,,,,,,,,,
87,0:14:32,Does that hurt,,,,,,,,,,,,,,,,,,,,,
88,0:14:33,"No just keep your head still, just words yes or no, here does that hurt",,,,,,,,,,,,,,,,,,,,,
89,0:14:36,Yes or no,,,,,,,,,,,,,,,,,,,,,
90,0:14:37,"A little bit, how bout here",,,,,,,,,,,,,,,,,,,,,
91,0:14:42,Here,,,,,,,,,,,,,,,,,,,,,
93,0:14:44,Here,,,,,,,,,,,,,,,,,,,,,
94,0:14:45,Here,,,,,,,,,,,,,,,,,,,,,
95,0:14:47,Here,,,,,,,,,,,,,,,,,,,,,
96,0:14:49,Here,,,,,,,,,,,,,,,,,,,,,
97,0:14:50,Okay,,,,,,,,,,,,,,,,,,,,,
98,0:14:51,"He's complaining of a little bit of discomfort around C7, he said C7",,,,,,,,,,,,,,,,,,,,,
99,0:14:56,In the midline,,,,,,,,,,,,,,,,,,,,,
100,0:14:56,Yeah,,,,,,,,,,,,,,,,,,,,,
101,0:14:57,Okay,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
136,0:16:38,"We're gonna turn you over, I'm a look at your back",,,,,,,,,,,,,,,,,,,,,
139,0:16:49,So nothing hurts at all right now,,,,,,,,,,,,,,,,,,,,,
140,0:16:51,"No, okay",,,,,,,,,,,,,,,,,,,,,
141,0:16:53,Give yourself…,,,,,,,,,,,,,,,,,,,,,
142,0:16:54,"We're actually gonna roll away to me, okay, we're gonna do a coy",,,,,,,,,,,,,,,,,,,,,
143,0:16:56,"You, you relax",,,,,,,,,,,,,,,,,,,,,
144,0:16:56,"We'll tell you when, you relax, we'll do it for you",,,,,,,,,,,,,,,,,,,,,
145,0:16:58,We're gonna do all the work,,,,,,,,,,,,,,,,,,,,,
146,0:16:59,"1, 2, 3",,,,,,,,,,,,,,,,,,,,,
147,0:17:03,Does it hurt here,,,,,,,,,,,,,,,,,,,,,
148,0:17:04,Here,,,,,,,,,,,,,,,,,,,,,
149,0:17:05,Here,,,,,,,,,,,,,,,,,,,,,
150,0:17:06,Here,,,,,,,,,,,,,,,,,,,,,
151,0:17:07,Here,,,,,,,,,,,,,,,,,,,,,
152,0:17:08,Here,,,,,,,,,,,,,,,,,,,,,
153,0:17:10,I just feel like distracted,,,,,,,,,,,,,,,,,,,,,
154,0:17:11,"Yeah, he has some abrasions on his, superficial, on the upper back, and then as well as the left lower back and midline",,,,,,,,,,,,,,,,,,,,,
155,0:17:19,Is it tender,,,,,,,,,,,,,,,,,,,,,
156,0:17:22,"No, no point tenderness",,,,,,,,,,,,,,,,,,,,,
157,0:17:23,Baby does it hurt on the inside,,,,,,,,,,,,,,,,,,,,,
158,0:17:25,Is it just kind of on the top,,,,,,,,,,,,,,,,,,,,,
159,0:17:25,Just straight top,,,,,,,,,,,,,,,,,,,,,
160,0:17:27,"Just gonna take a peak, real fast, okay, no blood at the rectum",,,,,,,,,,,,,,,,,,,,,
161,0:17:31,"1, 2, 3",,,,,,,,,,,,,,,,,,,,,
162,0:17:33,Okay great,,,,,,,,,,,,,,,,,,,,,
163,0:17:36,"So just the scratches, okay",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
170331,,,,,,,,,,,,,,,,,,,,,,,
65,0:07:13,Can you sit up for me,,,,,,,,,,,,,,,,,,,,,
66,0:07:24,"All good, doesn't hurt at all",,,,,,,,,,,,,,,,,,,,,
67,0:07:27,No step-offs of the spine,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
170329,,,,,,,,,,,,,,,,,,,,,,,
64,0:08:06,"Alright can we roll, or did we already check the back before we put the head piece on",,,,,,,,,,,,,,,,,,,,,
65,0:08:11,"No, we did not",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
74,0:09:21,"And we gotta roll him, roll him to the uh to his uh left",,,,,,,,,,,,,,,,,,,,,
75,0:10:01,"So what we're gonna do is on your count, we're gonna roll the baby to the, to the left, and then we're gonna take the head piece off and clear the back.",,,,,,,,,,,,,,,,,,,,,
76,0:10:11,"Alright, you got C-spine? Guys ready to roll. Alright on the count of 3 on your count. Alright ready. 1, 2, 3.",,,,,,,,,,,,,,,,,,,,,
77,0:10:52,No deformities of the posterior skull,,,,,,,,,,,,,,,,,,,,,
78,0:10:59,"No tendernes of the C-spine, no step-offs",,,,,,,,,,,,,,,,,,,,,
79,0:11:06,No step-off of the spine noted.,,,,,,,,,,,,,,,,,,,,,
80,0:11:08,No deformities.,,,,,,,,,,,,,,,,,,,,,
81,0:11:12,And he's got good rectal tone.,,,,,,,,,,,,,,,,,,,,,
82,0:11:24,"I think basic labs, lateral C-spine exposure. Trauma, trauma labs.",,,,,,,,,,,,,,,,,,,,,
83,0:11:28,"Yea I'd do comprehensive. Yea, okay.",,,,,,,,,,,,,,,,,,,,,
84,0:11:32,"Lateral head CT, can we get a face CT.",,,,,,,,,,,,,,,,,,,,,
85,0:11:52,"Alright we're gonna roll him back on my count, on the count of 3. Ready, 1, 2, 3.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
170327,,,,,,,,,,,,,,,,,,,,,,,
35,0:12:32,No step-offs in the cervical spine.,,,,,,,,,,,,,,,,,,,,,
36,0:13:12,"I know, we don't like that either.",,,,,,,,,,,,,,,,,,,,,
37,0:13:50,"You guys, we're gonna roll on your count.",,,,,,,,,,,,,,,,,,,,,
38,0:13:54,Ready?,,,,,,,,,,,,,,,,,,,,,
39,0:13:56,"Okay, 1, 2, 3.",,,,,,,,,,,,,,,,,,,,,
41,0:14:21,No deformities of the thoracic spine.,,,,,,,,,,,,,,,,,,,,,
42,0:14:25,No deformities of the lumbar spine.,,,,,,,,,,,,,,,,,,,,,
43,0:14:30,No deformities of the sacrum.,,,,,,,,,,,,,,,,,,,,,
44,0:14:35,"Wanna go back? Okay. 1, 2, 3.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
170229,,,,,,,,,,,,,,,,,,,,,,,
67,0:05:48,"There's no stepoff or deformity in her cervical, thoracic, or lumbar spine",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
170228,,,,,,,,,,,,,,,,,,,,,,,
166,0:16:33,"You're gonna give yourself a big hug and we're gonna do all the work, okay",,,,,,,,,,,,,,,,,,,,,
167,0:16:37,Arm in,,,,,,,,,,,,,,,,,,,,,
168,0:16:38,"Hug there, hug there",,,,,,,,,,,,,,,,,,,,,
169,0:16:41,"Ready, 1, 2, 3",,,,,,,,,,,,,,,,,,,,,
170,0:16:53,It's okay,,,,,,,,,,,,,,,,,,,,,
171,0:16:53,Does it hurt when I push here,,,,,,,,,,,,,,,,,,,,,
172,0:16:55,Yes or no,,,,,,,,,,,,,,,,,,,,,
173,0:16:55,Yes or -- here?,,,,,,,,,,,,,,,,,,,,,
174,0:16:57,Here,,,,,,,,,,,,,,,,,,,,,
175,0:16:58,Here,,,,,,,,,,,,,,,,,,,,,
176,0:17:01,Does this hurt,,,,,,,,,,,,,,,,,,,,,
177,0:17:02,No,,,,,,,,,,,,,,,,,,,,,
178,0:17:02,Here,,,,,,,,,,,,,,,,,,,,,
179,0:17:04,No,,,,,,,,,,,,,,,,,,,,,
180,0:17:04,Here,,,,,,,,,,,,,,,,,,,,,
181,0:17:06,Anywhere here,,,,,,,,,,,,,,,,,,,,,
182,0:17:07,What's wrong,,,,,,,,,,,,,,,,,,,,,
183,0:17:08,What's wrong bud,,,,,,,,,,,,,,,,,,,,,
184,0:17:10,Just taking a look at your bottom,,,,,,,,,,,,,,,,,,,,,
185,0:17:11,"Okay, okay we can roll back",,,,,,,,,,,,,,,,,,,,,
186,0:17:13,"Ready, 1, 2, 3",,,,,,,,,,,,,,,,,,,,,
187,0:17:15,"No step-off, no deformity, nontender, no blood at the rectum",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
202,0:16:31,Wanna roll and look at his hind,,,,,,,,,,,,,,,,,,,,,
203,0:16:32,"Let's, yeah, let's roll him",,,,,,,,,,,,,,,,,,,,,
204,0:16:35,We're gonna roll towards his left,,,,,,,,,,,,,,,,,,,,,
205,0:16:43,We're gonna roll you,,,,,,,,,,,,,,,,,,,,,
206,0:16:44,"1, 2, 3",,,,,,,,,,,,,,,,,,,,,
210,0:16:52,Alright does it hurt when I press,,,,,,,,,,,,,,,,,,,,,
211,0:16:53,No,,,,,,,,,,,,,,,,,,,,,
212,0:16:54,On your back,,,,,,,,,,,,,,,,,,,,,
213,0:16:54,No sir,,,,,,,,,,,,,,,,,,,,,
214,0:16:55,"Alright, there's no step-offs of his uh thoracic or lumbar spine, there's no point tenderness",,,,,,,,,,,,,,,,,,,,,
217,0:17:03,Okay,,,,,,,,,,,,,,,,,,,,,
218,0:17:04,Bring him back,,,,,,,,,,,,,,,,,,,,,
219,0:17:05,"3, 2, 1",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
170211,,,,,,,,,,,,,,,,,,,,,,,
73,0:07:54,No spinal deformity or step-off.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
90,0:08:54,"Looks like they're moving everything, I saw you roll him, no deformities in the back?",,,,,,,,,,,,,,,,,,,,,
91,0:08:57,No deformities in the back.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
170210,,,,,,,,,,,,,,,,,,,,,,,
139,0:09:51,O-okay. We're gonna go lay down right back here. Can we look at your back first? Can we look at your back first?,,,,,,,,,,,,,,,,,,,,,
140,0:09:52,It's okay sweetie we're almost done.,,,,,,,,,,,,,,,,,,,,,
141,0:09:57,"We just find if your back hurts. Just come on, find your mommy. We just look at the diaper",,,,,,,,,,,,,,,,,,,,,
144,0:10:03,Did they scan her over there?,,,,,,,,,,,,,,,,,,,,,
145,0:10:04,No,,,,,,,,,,,,,,,,,,,,,
146,0:10:10,No step-off at the vertebral column.,,,,,,,,,,,,,,,,,,,,,
147,0:10:20,"You checked the back, neck and back?",,,,,,,,,,,,,,,,,,,,,
148,0:10:21,Yes,,,,,,,,,,,,,,,,,,,,,
151,0:10:25,C-spine was okay obviously?,,,,,,,,,,,,,,,,,,,,,
152,0:10:26,Yes,,,,,,,,,,,,,,,,,,,,,
153,0:10:27,They cleared that earlier clinically I heard.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
170209,,,,,,,,,,,,,,,,,,,,,,,
118,0:15:25,Alright we're gonna roll you over here so I can take a look at your back okay,,,,,,,,,,,,,,,,,,,,,
119,0:15:29,"You don't have to do anything, you just hold still and we're gonna roll ya",,,,,,,,,,,,,,,,,,,,,
120,0:15:34,"1, 2, 3",,,,,,,,,,,,,,,,,,,,,
121,0:15:38,"Are you in school, yeah",,,,,,,,,,,,,,,,,,,,,
122,0:15:42,No stepoffs,,,,,,,,,,,,,,,,,,,,,
123,0:15:44,Tenderness?,,,,,,,,,,,,,,,,,,,,,
124,0:15:46,Any owies back here on your back,,,,,,,,,,,,,,,,,,,,,
125,0:15:49,No tenderness for his back,,,,,,,,,,,,,,,,,,,,,
126,0:15:51,Okay great,,,,,,,,,,,,,,,,,,,,,
127,0:15:53,Okay we'll roll you back down,,,,,,,,,,,,,,,,,,,,,
128,0:15:56,Okay bud,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
170203,,,,,,,,,,,,,,,,,,,,,,,
51,0:15:04,Can we roll?,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
63,0:16:00,"So, yeah you can roll him",,,,,,,,,,,,,,,,,,,,,
64,0:16:02,Alright,,,,,,,,,,,,,,,,,,,,,
65,0:16:03,"We're gonna roll you over towards him, okay? Or you want your way or my way?",,,,,,,,,,,,,,,,,,,,,
66,0:16:07,You wanna come over here to do it?,,,,,,,,,,,,,,,,,,,,,
67,0:16:08,Yeah I'll go over there I guess,,,,,,,,,,,,,,,,,,,,,
68,0:16:10,Do you want me to help you?,,,,,,,,,,,,,,,,,,,,,
69,0:16:21,Do you feel sick or anything?,,,,,,,,,,,,,,,,,,,,,
70,0:16:22,Feel no step-offs or deformities in his cervical spine.,,,,,,,,,,,,,,,,,,,,,
71,0:16:27,Nothing in his thoracic spinem no step-offs.,,,,,,,,,,,,,,,,,,,,,
72,0:16:31,It hurts?,,,,,,,,,,,,,,,,,,,,,
73,0:16:33,It hurts a little,,,,,,,,,,,,,,,,,,,,,
74,0:16:35,Right here?,,,,,,,,,,,,,,,,,,,,,
75,0:16:37,Sorry what?,,,,,,,,,,,,,,,,,,,,,
76,0:16:37,How about here? Any pain?,,,,,,,,,,,,,,,,,,,,,
77,0:16:38,No,,,,,,,,,,,,,,,,,,,,,
78,0:16:39,"No step-offs or deformities, no pain in his cervical, thoracic, sacral regions.",,,,,,,,,,,,,,,,,,,,,
79,0:16:47,Can you squeeze your butt cheeks? Squeeze em. Squeeze em together.,,,,,,,,,,,,,,,,,,,,,
80,0:16:52,"Squeeze together, yea, yea there you go. There you go.",,,,,,,,,,,,,,,,,,,,,
81,0:16:54,Tone is-- tone is intact,,,,,,,,,,,,,,,,,,,,,
82,0:16:56,You can try and clinically clear his neck if you want,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
170128,,,,,,,,,,,,,,,,,,,,,,,
67,0:21:16,Which way do you wanna go?,,,,,,,,,,,,,,,,,,,,,
68,0:21:19,Towards me,,,,,,,,,,,,,,,,,,,,,
69,0:21:22,"Ready? 1, 2, 3.",,,,,,,,,,,,,,,,,,,,,
70,0:21:37,Abrasions noted to the right flank and midline. That hurt --?.,,,,,,,,,,,,,,,,,,,,,
71,0:21:44,At about L-2L/3.,,,,,,,,,,,,,,,,,,,,,
72,0:21:49,No obvious tenderness on palpation other than the areas where the abrasions are located.,,,,,,,,,,,,,,,,,,,,,
73,0:21:54,Uh no stepoffs in the TRL spine.,,,,,,,,,,,,,,,,,,,,,
74,0:22:02,No abrasions to the posterior uh bilateral lower extremities.,,,,,,,,,,,,,,,,,,,,,
75,0:22:10,Stool noted in the rectum.,,,,,,,,,,,,,,,,,,,,,
77,0:22:28,"Towards me. 1, 2, 3",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
170121,,,,,,,,,,,,,,,,,,,,,,,
116,0:30:15,"On 3, ready, 1, 2, 3.",,,,,,,,,,,,,,,,,,,,,
117,0:30:19,"We're gonna look at your back honey, we're just looking",,,,,,,,,,,,,,,,,,,,,
118,0:30:22,Do you wanna remove the board,,,,,,,,,,,,,,,,,,,,,
119,0:30:27,Is it connected? Can you make sure the straps are not connected to her,,,,,,,,,,,,,,,,,,,,,
120,0:30:35,All set,,,,,,,,,,,,,,,,,,,,,
121,0:30:40,"No obvious tenderness to palpation along the T and L spine, um no step-offs presents.",,,,,,,,,,,,,,,,,,,,,
122,0:30:46,"There's a small little uh, I guess I call this a, puncture, on the left buttocks.",,,,,,,,,,,,,,,,,,,,,
127,0:31:00,They just wanna check the C-spine as well.,,,,,,,,,,,,,,,,,,,,,
128,0:31:02,"Can you just hold her, if you want, that's alright.",,,,,,,,,,,,,,,,,,,,,
129,0:31:04,You were holding her.,,,,,,,,,,,,,,,,,,,,,
130,0:31:11,No tenderness of palpation of the C-spine and no obvious step-offs present.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
170120,,,,,,,,,,,,,,,,,,,,,,,
65,0:19:46,We're gonna turn you over and check your back okay,,,,,,,,,,,,,,,,,,,,,
66,0:19:47,Any pain,,,,,,,,,,,,,,,,,,,,,
67,0:19:49,No pain in thoracic spine,,,,,,,,,,,,,,,,,,,,,
68,0:19:52,Does it hurt anywhere,,,,,,,,,,,,,,,,,,,,,
69,0:19:53,Or the sacral region,,,,,,,,,,,,,,,,,,,,,
70,0:19:54,No?,,,,,,,,,,,,,,,,,,,,,
71,0:19:54,"Can you squeeze your, butt cheeks together",,,,,,,,,,,,,,,,,,,,,
72,0:19:56,No pain,,,,,,,,,,,,,,,,,,,,,
73,0:19:56,Squeeze em,,,,,,,,,,,,,,,,,,,,,
74,0:19:59,Squeeze your butt cheeks,,,,,,,,,,,,,,,,,,,,,
75,0:20:01,There you go very good,,,,,,,,,,,,,,,,,,,,,
76,0:20:02,Good job,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
170114,,,,,,,,,,,,,,,,,,,,,,,
176,0:06:57,Alright how bout the rest of it,,,,,,,,,,,,,,,,,,,,,
177,0:06:58,We can turn him,,,,,,,,,,,,,,,,,,,,,
178,0:07:00,Can you hug yourself,,,,,,,,,,,,,,,,,,,,,
181,0:07:12,Alright let's log roll and let's check the neck,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
187,0:07:27,What's your name buddy,,,,,,,,,,,,,,,,,,,,,
188,0:07:29,Stay nice and still okay,,,,,,,,,,,,,,,,,,,,,
189,0:07:31,"Why don't you turn him first and check-can you stabilize and then check the back, you can feel the, palpate the back and then we'll put the collar on",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
201,0:07:55,Y'all ready,,,,,,,,,,,,,,,,,,,,,
202,0:07:56,"Good, 1",,,,,,,,,,,,,,,,,,,,,
203,0:07:56,"1, 2, 3",,,,,,,,,,,,,,,,,,,,,
204,0:07:57,What X-rays should we want to get,,,,,,,,,,,,,,,,,,,,,
205,0:07:58,"C-spine, for right now",,,,,,,,,,,,,,,,,,,,,
206,0:07:59,"C-spine, any blood work",,,,,,,,,,,,,,,,,,,,,
207,0:08:01,No,,,,,,,,,,,,,,,,,,,,,
208,0:08:04,Any pain where I'm pressing,,,,,,,,,,,,,,,,,,,,,
209,0:08:06,What about down in here,,,,,,,,,,,,,,,,,,,,,
210,0:08:08,"I mean if you disagree, tell me that",,,,,,,,,,,,,,,,,,,,,
211,0:08:10,"No T or L spine tenderness, no stepoffs",,,,,,,,,,,,,,,,,,,,,
212,0:08:13,Any pain up here,,,,,,,,,,,,,,,,,,,,,
213,0:08:15,No,,,,,,,,,,,,,,,,,,,,,
214,0:08:16,Here,,,,,,,,,,,,,,,,,,,,,
215,0:08:17,No uh C-spine tenderness,,,,,,,,,,,,,,,,,,,,,
216,0:08:19,"Alright let's put the collar on, the bottom part, so that we can turn him, what else",,,,,,,,,,,,,,,,,,,,,
217,0:08:28,"No pain in the back, no other abrasions or lacerations of bilateral lower extremities",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
170112,,,,,,,,,,,,,,,,,,,,,,,
91,0:13:07,So if you're done getting the IV we'll do a log roll her over for her back and do a C-spine exam too,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
105,0:16:48,I think they just have to do the back,,,,,,,,,,,,,,,,,,,,,
106,0:16:48,"Let's just log roll her, we'll just look at the neck exam and the last few things and then we'll be done",,,,,,,,,,,,,,,,,,,,,
107,0:16:50,Oh sorry my bad,,,,,,,,,,,,,,,,,,,,,
108,0:16:53,"As soon as they, either get her or don’t get her",,,,,,,,,,,,,,,,,,,,,
112,0:18:54,"I know, I know, I know I'm sorry",,,,,,,,,,,,,,,,,,,,,
116,0:20:35,Okay okay hey,,,,,,,,,,,,,,,,,,,,,
117,0:20:43,"Get her to clear a C-spine now, she's moving all 4 extremities, and she's looking to the left, have her look to the right",,,,,,,,,,,,,,,,,,,,,
118,0:20:51,No tenderness of palpation along the C-spine,,,,,,,,,,,,,,,,,,,,,
119,0:20:56,Still wanna top turn her,,,,,,,,,,,,,,,,,,,,,
120,0:21:13,"No T or uh L spine tenderness or stepoff, no other signs of abrasions or lacerations, the uh C-spine is cleared",,,,,,,,,,,,,,,,,,,,,
121,0:21:20,Okay,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
170110,,,,,,,,,,,,,,,,,,,,,,,
71,0:04:22,"we got to do the upper lung sounds, back and neck exam",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
85,0:05:46,No obvious step-offs or uh tenderness of palpation along the T and L spine,,,,,,,,,,,,,,,,,,,,,
